Dip mm,TK-103,TK-102,TK-101,Recovery Tank TK-106,Diesel TK-201,Diesel TK-202,Petrol TK-301,Petrol TK-302,TK-4,TK-6,TK-7,TK-8,TK-9,Diesel Tank
0,631822,595503,628842,37,"6,504","10,227",56,54,"22,163","16,474","68,132","75,068","68,706",0
1,635044,596578,629918,38.5,"6,567","10,290",58.5,56,"22,488","16,799","68,682","75,619","69,256",0
2,638266,597653,630994,40,"6,631","10,354",61,58,"22,814","17,125","69,233","76,170","69,807",3
3,641491,598729,632069,42.5,"6,694","10,417",63,61,"23,139","17,450","69,783","76,721","70,357",5
4,644713,599804,633145,45,"6,758","10,480",65,63,"23,464","17,775","70,333","77,272","70,908",8
5,647935,600879,634221,47,"6,821","10,544",67.5,66,"23,790","18,101","70,884","77,823","71,458",10
6,651157,601954,635297,49,"6,885","10,607",70,68,"24,115","18,426","71,434","78,374","72,008",13
7,654379,603030,636373,51,"6,948","10,671",72.5,71,"24,440","18,751","71,984","78,925","72,559",15
8,657601,604105,637449,53,"7,012","10,734",75,73,"24,766","19,077","72,535","79,476","73,109",18
9,660826,605180,638524,55.5,"7,075","10,797",78,76,"25,091","19,402","73,085","80,028","73,660",20
10,642543,606239,639587,58,"7,139","10,861",81,78,"25,271","19,502","72,806","79,938","73,441",23
11,645765,607314,640663,60.5,"7,202","10,924",83.5,81,"25,596","19,827","73,356","80,489","73,991",25
12,648987,608389,641739,63,"7,266","10,988",86,83,"25,922","20,153","73,907","81,040","74,542",32
13,652212,609465,642814,66,"7,329","11,051",89,86,"26,247","20,478","74,457","81,591","75,092",39
14,655434,610540,643890,69,"7,393","11,114",92,89,"26,572","20,803","75,007","82,142","75,643",45
15,658656,611615,644966,71.5,"7,456","11,178",95,92,"26,898","21,129","75,558","82,693","76,193",52
16,661878,612690,646042,74,"7,520","11,241",98,95,"27,223","21,454","76,108","83,244","76,743",59
17,665100,613766,647118,77,"7,583","11,305",101,98,"27,548","21,779","76,658","83,795","77,294",66
